player_id,player,pos,nation,born
54,Adam Lallana,"MF,FW",ENG,1988
55,Adam Webster,DF,ENG,1995
56,Alexis Mac Allister,"MF,FW",ARG,1998
57,Alireza Jahanbakhsh,"FW,MF",IRN,1993
58,Andi Zeqiri,"FW,DF",SUI,1999
59,Ben White,"DF,MF",ENG,1997
60,Bernardo,"DF,MF",BRA,1995
61,Dan Burn,DF,ENG,1992
62,Danny Welbeck,FW,ENG,1990
63,Davy Pröpper,MF,NED,1991
64,Jakub Moder,"DF,MF",POL,1999
65,Jayson Molumby,MF,IRL,1999
66,José Izquierdo,DF,COL,1992
67,Joël Veltman,DF,NED,1992
68,Leandro Trossard,"MF,FW",BEL,1994
69,Lewis Dunk,DF,ENG,1991
70,Neal Maupay,"FW,MF",FRA,1996
71,Pascal Groß,"MF,DF",GER,1991
72,Percy Tau,FW,RSA,1994
73,Reda Khadra,MF,GER,2001
74,Robert Sánchez,GK,ESP,1997
75,Solly March,"DF,MF",ENG,1994
76,Steven Alzate,MF,COL,1998
77,Tariq Lamptey,"DF,MF",GHA,2000
78,Yves Bissouma,MF,MLI,1996
79,Ashley Barnes,FW,ENG,1989
80,Ashley Westwood,MF,ENG,1990
81,Bailey Peacock-Farrell,GK,NIR,1996
82,Ben Mee,DF,ENG,1989
83,Charlie Taylor,DF,ENG,1993
84,Chris Wood,FW,NZL,1991
85,Dale Stephens,MF,ENG,1989
86,Dwight McNeil,MF,ENG,1999
87,Erik Pieters,"DF,MF",NED,1988
88,Jack Cork,MF,ENG,1989
89,James Tarkowski,DF,ENG,1992
90,Jay Rodriguez,FW,ENG,1989
91,Jimmy Dunne,DF,IRL,1997
92,Joel Mumbongo,FW,SWE,1999
93,Josh Benson,MF,ENG,1999
94,Josh Brownhill,MF,ENG,1995
95,Jóhann Berg Guðmundsson,MF,ISL,1990
96,Kevin Long,DF,IRL,1990
97,Lewis Richardson,"FW,MF",ENG,2003
98,Matthew Lowton,DF,ENG,1989
99,Matěj Vydra,FW,CZE,1992
100,Nick Pope,GK,ENG,1992
101,Phil Bardsley,DF,SCO,1985
102,Robbie Brady,MF,IRL,1992
103,Will Norris,GK,ENG,1993
104,Andreas Christensen,DF,DEN,1996
105,Antonio Rüdiger,DF,GER,1993
106,Ben Chilwell,DF,ENG,1996
107,Billy Gilmour,MF,SCO,2001
108,Callum Hudson-Odoi,"FW,DF",ENG,2000
109,Christian Pulisic,"FW,MF",USA,1998
110,César Azpilicueta,DF,ESP,1989
111,Edouard Mendy,GK,SEN,1992
112,Emerson Palmieri,DF,ITA,1994
113,Fikayo Tomori,DF,ENG,1997
114,Hakim Ziyech,"MF,FW",MAR,1993
115,Jorginho,MF,ITA,1991
116,Kai Havertz,"MF,FW",GER,1999
117,Kepa Arrizabalaga,GK,ESP,1994
118,Kurt Zouma,DF,FRA,1994
119,Marcos Alonso,DF,ESP,1990
120,Mason Mount,MF,ENG,1999
121,Mateo Kovačić,MF,CRO,1994
122,N'Golo Kanté,MF,FRA,1991
123,Olivier Giroud,FW,FRA,1986
124,Reece James,DF,ENG,1999
125,Ruben Loftus-Cheek,FW,ENG,1996
126,Tammy Abraham,FW,ENG,1997
127,Thiago Silva,DF,BRA,1984
128,Timo Werner,"FW,MF",GER,1996
129,Willy Caballero,GK,ARG,1981
130,Andros Townsend,"MF,FW",ENG,1991
131,Cheikhou Kouyaté,DF,SEN,1989
132,Christian Benteke,FW,BEL,1990
133,Eberechi Eze,MF,ENG,1998
134,Gary Cahill,DF,ENG,1985
135,Jack Butland,GK,ENG,1993
136,James McArthur,MF,SCO,1987
137,James McCarthy,MF,IRL,1990
138,James Tomkins,DF,ENG,1989
139,Jaïro Riedewald,MF,NED,1996
140,Jean-Philippe Mateta,FW,FRA,1997
141,Jeffrey Schlupp,MF,GHA,1992
142,Joel Ward,DF,ENG,1989
143,Jordan Ayew,"FW,MF",GHA,1991
144,Luka Milivojević,MF,SRB,1991
145,Mamadou Sakho,DF,FRA,1990
146,Martin Kelly,DF,ENG,1990
147,Michy Batshuayi,FW,BEL,1993
148,Nathaniel Clyne,DF,ENG,1991
149,Patrick van Aanholt,DF,NED,1990
150,Scott Dann,DF,ENG,1987
151,Tyrick Mitchell,DF,ENG,1999
152,Vicente Guaita,GK,ESP,1987
153,Wilfried Zaha,FW,CIV,1992
154,Abdoulaye Doucouré,MF,MLI,1993
155,Alex Iwobi,"FW,MF",NGA,1996
156,Allan,MF,BRA,1991
157,André Gomes,MF,POR,1993
158,Anthony Gordon,"FW,MF",ENG,2001
159,Ben Godfrey,DF,ENG,1998
160,Bernard,"MF,FW",BRA,1992
161,Cenk Tosun,FW,TUR,1991
162,Dominic Calvert-Lewin,FW,ENG,1997
163,Fabian Delph,"MF,DF",ENG,1989
164,Gylfi Sigurðsson,"MF,FW",ISL,1989
165,James Rodríguez,"FW,MF",COL,1991
166,Jean-Philippe Gbamin,MF,CIV,1995
167,Jonjoe Kenny,DF,ENG,1997
168,Jordan Pickford,GK,ENG,1994
169,Joshua King,"MF,FW",NOR,1992
170,João Virgínia,GK,POR,1999
171,Lucas Digne,"DF,MF",FRA,1993
172,Mason Holgate,DF,JAM,1996
173,Michael Keane,DF,ENG,1993
174,Moise Kean,"FW,MF",ITA,2000
175,Nathan Broadhead,FW,WAL,1998
176,Niels Nkounkou,"DF,FW",FRA,2000
177,Richarlison,FW,BRA,1997
178,Robin Olsen,GK,SWE,1990
179,Séamus Coleman,"DF,MF",IRL,1988
180,Theo Walcott,FW,ENG,1989
181,Tom Davies,MF,ENG,1998
182,Yerry Mina,DF,COL,1994
183,Aboubakar Kamara,"FW,MF",MTN,1995
184,Ademola Lookman,"FW,MF",NGA,1997
185,Aleksandar Mitrović,FW,SRB,1994
186,Alphonse Areola,GK,FRA,1993
187,Andre-Frank Zambo Anguissa,MF,CMR,1995
188,Antonee Robinson,DF,USA,1997
189,Bobby De Cordova-Reid,"MF,FW",JAM,1993
190,Denis Odoi,DF,GHA,1988
191,Fabio Carvalho,"MF,FW",POR,2002
192,Harrison Reed,MF,ENG,1995
193,Ivan Cavaleiro,FW,POR,1993
194,Joachim Andersen,DF,DEN,1996
195,Joe Bryan,"DF,MF",ENG,1993
196,Josh Maja,FW,NGA,1998
197,Josh Onomah,MF,ENG,1997
198,Kenny Tete,"DF,MF",NED,1995
199,Marek Rodák,GK,SVK,1996
200,Mario Lemina,MF,GAB,1993
201,Maxime Le Marchand,DF,FRA,1989
202,Michael Hector,DF,JAM,1992
203,Neeskens Kebano,"FW,MF",COD,1992
204,Ola Aina,DF,NGA,1996
205,Terence Kongolo,DF,NED,1994
206,Tim Ream,DF,USA,1987
207,Tom Cairney,MF,SCO,1991
208,Tosin Adarabioyo,DF,ENG,1997
209,Tyrese Francois,DF,AUS,2000
210,Diego Llorente,DF,ESP,1993
211,Ezgjan Alioski,"DF,MF",MKD,1992
212,Gaetano Berardi,DF,SUI,1988
213,Hélder Costa,"MF,FW",ANG,1994
214,Ian Poveda,MF,ENG,2000
215,Illan Meslier,GK,FRA,2000
216,Jack Harrison,"MF,FW",ENG,1996
217,Jamie Shackleton,"MF,DF",ENG,1999
218,Kalvin Phillips,MF,ENG,1995
219,Kiko Casilla,GK,ESP,1986
220,Leif Davis,DF,ENG,2000
221,Liam Cooper,DF,SCO,1991
222,Luke Ayling,DF,ENG,1991
223,Mateusz Klich,MF,POL,1990
224,Niall Huggins,DF,WAL,2000
225,Pablo Hernández,MF,ESP,1985
226,Pascal Struijk,"DF,MF",NED,1999
227,Patrick Bamford,FW,ENG,1993
228,Raphinha,"MF,FW",BRA,1996
229,Robin Koch,"DF,MF",GER,1996
230,Rodrigo,"MF,FW",ESP,1991
231,Stuart Dallas,"MF,DF",NIR,1991
232,Tyler Roberts,"MF,FW",WAL,1999
233,Ayoze Pérez,"MF,FW",ESP,1993
234,Cengiz Ünder,"FW,MF",TUR,1997
235,Christian Fuchs,DF,AUT,1986
236,Daniel Amartey,DF,GHA,1994
237,Demarai Gray,FW,JAM,1996
238,Dennis Praet,MF,BEL,1994
239,Hamza Choudhury,MF,BAN,1997
240,Harvey Barnes,"FW,MF",ENG,1997
241,Islam Slimani,FW,ALG,1988
242,James Justin,DF,ENG,1998
243,James Maddison,MF,ENG,1996
244,Jamie Vardy,FW,ENG,1987
245,Jonny Evans,DF,NIR,1988
246,Kasper Schmeichel,GK,DEN,1986
247,Kelechi Iheanacho,FW,NGA,1996
248,Khanya Leshabela,MF,RSA,1999
249,Luke Thomas,DF,ENG,2001
250,Marc Albrighton,"DF,FW",ENG,1989
251,Nampalys Mendy,MF,SEN,1992
252,Ricardo Pereira,"DF,FW",POR,1993
253,Sidnei Tavares,MF,,2001
254,Timothy Castagne,DF,BEL,1995
255,Wes Morgan,DF,JAM,1984
256,Wesley Fofana,DF,FRA,2000
257,Wilfred Ndidi,"MF,DF",NGA,1996
258,Youri Tielemans,MF,BEL,1997
259,Çağlar Söyüncü,DF,TUR,1996
260,Adrián,GK,ESP,1987
261,Alex Oxlade-Chamberlain,"MF,FW",ENG,1993
262,Alisson,GK,BRA,1992
263,Andrew Robertson,DF,SCO,1994
264,Caoimhín Kelleher,GK,IRL,1998
265,Curtis Jones,MF,ENG,2001
266,Diogo Jota,FW,POR,1996
267,Divock Origi,FW,BEL,1995
268,Fabinho,"DF,MF",BRA,1993
269,Georginio Wijnaldum,MF,NED,1990
270,James Milner,"MF,DF",ENG,1986
271,Joe Gomez,DF,ENG,1997
272,Jordan Henderson,"MF,DF",ENG,1990
273,Joël Matip,DF,CMR,1991
274,Kostas Tsimikas,"DF,FW",GRE,1996
275,Mohamed Salah,FW,EGY,1992
276,Naby Keïta,MF,GUI,1995
277,Nathaniel Phillips,DF,ENG,1997
278,Neco Williams,DF,WAL,2001
279,Ozan Kabak,DF,TUR,2000
280,Rhys Williams,DF,ENG,2001
281,Roberto Firmino,FW,BRA,1991
282,Sadio Mané,FW,SEN,1992
283,Takumi Minamino,"MF,FW",JPN,1995
284,Thiago Alcántara,MF,ESP,1991
285,Trent Alexander-Arnold,DF,ENG,1998
286,Virgil van Dijk,DF,NED,1991
287,Xherdan Shaqiri,"MF,FW",SUI,1991
288,Aymeric Laporte,DF,ESP,1994
289,Benjamin Mendy,DF,FRA,1994
290,Bernardo Silva,"MF,FW",POR,1994
291,Ederson,GK,BRA,1993
292,Eric García,DF,ESP,2001
293,Fernandinho,MF,BRA,1985
294,Ferrán Torres,"FW,MF",ESP,2000
295,Gabriel Jesus,FW,BRA,1997
296,John Stones,DF,ENG,1994
297,João Cancelo,"DF,MF",POR,1994
298,Kevin De Bruyne,MF,BEL,1991
299,Kyle Walker,DF,ENG,1990
300,Liam Delap,FW,ENG,2003
301,Nathan Aké,DF,NED,1995
302,Oleksandr Zinchenko,DF,UKR,1996
303,Phil Foden,"FW,MF",ENG,2000
304,Raheem Sterling,FW,ENG,1994
305,Riyad Mahrez,FW,ALG,1991
306,Rodri,MF,ESP,1996
307,Rúben Dias,DF,POR,1997
308,Scott Carson,GK,ENG,1985
309,Sergio Agüero,FW,ARG,1988
