season,game_id,team_id,player_id,min_played,goals,assists,penalty_made,penalty_attempted,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,pass_completion_percent,progressive_passes,carries,progressive_carries,take_ons_attempted,take_ons_successful
2021,13,19481,233,61,0,0,0,0,1,0,0,0,37,2,2,1,1,0,17,22,77.3,2,19,1,2,0
2021,13,19481,238,82,1,0,0,0,3,1,0,0,65,2,2,1,5,2,43,51,84.3,9,26,3,4,2
2021,13,19481,240,89,1,1,0,0,5,3,0,0,51,0,0,0,5,1,32,40,80.0,7,34,9,3,2
2021,13,19481,242,90,1,0,0,0,2,1,0,0,84,0,1,0,2,0,66,77,85.7,8,45,7,1,0
2021,13,19481,243,29,0,0,0,0,0,0,0,0,23,0,0,0,1,0,20,20,100.0,2,12,1,0,0
2021,13,19481,244,90,0,0,0,0,1,0,0,0,19,1,0,1,2,1,9,13,69.2,2,10,1,1,0
2021,13,19481,246,90,0,0,0,0,0,0,0,0,48,0,0,0,0,0,32,46,69.6,0,18,0,0,0
2021,13,19481,250,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,50.0,0,1,0,0,0
2021,13,19481,251,90,0,0,0,0,0,0,1,0,96,1,0,0,2,0,83,91,91.2,5,43,1,1,0
2021,13,19481,254,90,0,1,0,0,0,0,0,0,79,1,1,0,4,1,56,71,78.9,8,34,2,0,0
2021,13,19481,255,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,100.0,0,0,0,0,0
2021,13,19481,257,90,0,0,0,0,0,0,0,0,73,3,2,1,0,0,49,62,79.0,1,26,0,0,0
2021,13,19481,258,90,0,0,0,0,1,1,0,0,103,1,2,0,4,1,77,98,78.6,10,43,0,0,0
2021,13,19481,259,90,0,0,0,0,1,0,0,0,83,2,1,2,1,0,59,70,84.3,5,42,1,0,0
2021,15,19453,53,89,1,0,0,0,2,1,0,0,20,1,0,2,1,0,10,13,76.9,2,14,2,2,1
2021,15,19453,54,13,0,0,0,0,0,0,0,0,19,0,0,1,0,0,12,13,92.3,0,7,0,1,0
2021,15,19453,55,90,0,0,0,0,0,0,0,0,60,0,1,1,0,0,44,56,78.6,4,31,0,0,0
2021,15,19453,57,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0,3,3,100.0,0,3,1,0,0
2021,15,19453,59,90,0,0,0,0,0,0,0,0,61,0,2,1,3,2,41,58,70.7,3,30,2,0,0
2021,15,19453,61,33,0,0,0,0,0,0,0,0,18,0,2,0,0,0,14,18,77.8,2,9,0,0,0
2021,15,19453,68,90,0,1,0,0,3,1,0,0,39,1,2,0,3,1,15,30,50.0,4,19,1,0,0
2021,15,19453,69,90,0,0,0,0,0,0,0,0,62,0,0,1,1,0,44,50,88.0,0,32,0,0,0
2021,15,19453,17,90,0,0,0,0,0,0,0,0,43,0,0,0,0,0,29,41,70.7,0,25,0,0,0
2021,15,19453,70,90,2,1,1,1,3,2,0,0,38,1,0,1,3,1,24,29,82.8,4,19,2,0,0
2021,15,19453,75,77,0,0,0,0,0,0,0,0,54,3,0,3,1,0,33,45,73.3,1,22,0,1,0
2021,15,19453,76,90,0,0,0,0,0,0,0,0,50,1,0,1,3,0,43,44,97.7,4,27,1,1,1
2021,15,19453,77,57,0,0,0,0,1,1,0,0,37,0,4,0,3,2,21,29,72.4,2,12,1,1,0
2021,15,19453,78,88,0,0,0,0,2,0,0,1,62,1,0,1,1,0,46,50,92.0,3,35,2,1,0
2021,15,18716,341,32,0,0,0,0,0,0,0,0,11,1,0,0,0,0,6,7,85.7,1,4,1,2,1
2021,15,18716,342,45,0,0,0,0,0,0,0,0,19,1,0,0,0,0,3,11,27.3,0,7,0,0,0
2021,15,18716,343,90,0,0,0,0,1,0,0,0,17,0,1,0,0,0,6,10,60.0,1,8,1,0,0
2021,15,18716,350,90,0,0,0,0,0,0,0,0,47,0,1,0,0,0,32,40,80.0,0,22,0,0,0
2021,15,18716,351,90,0,0,0,0,1,0,0,0,63,1,1,1,2,0,48,58,82.8,5,31,0,0,0
2021,15,18716,353,90,0,0,0,0,1,0,1,0,63,1,0,0,0,0,45,56,80.4,3,31,0,0,0
2021,15,18716,354,90,0,0,0,0,0,0,1,0,44,0,2,0,2,0,26,34,76.5,3,17,0,0,0
2021,15,18716,355,90,0,0,0,0,0,0,0,0,58,2,0,0,0,0,42,52,80.8,4,29,2,1,0
2021,15,18716,356,90,0,0,0,0,1,0,0,0,30,0,0,0,1,0,24,27,88.9,3,11,0,0,0
2021,15,18716,357,19,0,0,0,0,0,0,0,0,8,1,0,0,0,0,7,7,100.0,1,5,0,0,0
2021,15,18716,358,71,0,0,0,0,2,0,1,0,62,2,1,0,1,0,29,56,51.8,4,36,0,1,1
2021,15,18716,359,90,0,0,0,0,0,0,0,0,27,0,0,0,0,0,14,26,53.8,0,11,0,0,0
2021,15,18716,363,45,0,0,0,0,0,0,0,0,27,1,0,1,2,0,18,21,85.7,3,19,1,0,0
2021,15,18716,365,58,0,0,0,0,0,0,0,0,28,0,3,0,0,0,16,25,64.0,1,14,0,0,0
2021,14,18732,394,90,0,0,0,0,0,0,0,0,32,0,0,0,1,0,23,30,76.7,0,15,0,0,0
2021,14,18732,398,79,0,0,0,0,4,2,1,0,24,0,0,0,4,0,9,16,56.3,1,11,1,2,2
2021,14,18732,400,90,2,0,1,1,1,1,0,0,28,0,0,3,1,0,11,20,55.0,2,10,2,1,0
2021,14,18732,403,90,0,0,0,0,0,0,1,0,65,2,1,0,1,0,43,60,71.7,6,31,0,0,0
2021,14,18732,405,90,0,0,0,0,3,3,0,0,74,0,1,1,2,0,45,65,69.2,5,22,2,0,0
2021,14,18732,406,90,0,0,0,0,0,0,0,0,68,0,0,1,1,0,53,64,82.8,3,33,1,0,0
2021,14,18732,409,90,0,1,0,0,0,0,0,0,62,2,2,2,2,1,43,53,81.1,7,29,5,2,2
2021,14,18732,412,90,0,0,0,0,2,0,0,0,41,0,1,4,3,1,15,22,68.2,2,22,1,6,4
2021,14,18732,414,23,0,0,0,0,1,0,0,0,4,0,0,0,2,0,2,3,66.7,0,4,1,1,1
2021,14,18732,415,54,0,0,0,0,0,0,1,0,33,1,1,2,2,1,20,25,80.0,3,13,0,0,0
2021,14,18732,416,90,0,0,0,0,0,0,1,0,67,1,0,1,2,0,43,65,66.2,8,17,1,0,0
2021,14,18732,417,11,0,0,0,0,1,0,0,0,8,0,1,0,0,0,2,5,40.0,0,3,0,0,0
2021,14,18732,418,67,0,0,0,0,1,0,0,0,44,1,0,1,3,0,32,37,86.5,3,17,6,2,2
2021,14,18732,419,36,0,0,0,0,0,0,0,0,26,1,1,0,1,0,22,24,91.7,3,15,0,0,0
2021,14,18741,421,90,0,0,0,0,0,0,0,0,54,0,0,1,1,0,32,51,62.7,6,16,0,1,0
2021,14,18741,424,90,0,0,0,0,0,0,0,0,59,3,0,0,1,1,32,50,64.0,0,26,0,0,0
2021,14,18741,426,90,0,0,0,0,0,0,0,0,67,0,2,0,0,0,43,58,74.1,4,32,2,0,0
2021,14,18741,428,45,0,0,0,0,1,0,1,0,33,0,0,1,2,1,24,30,80.0,5,22,0,3,1
2021,14,18741,429,83,1,4,0,0,2,1,0,0,26,1,0,0,6,4,9,15,60.0,6,10,1,2,1
2021,14,18741,430,90,0,0,0,0,0,0,0,0,59,1,0,2,0,0,42,56,75.0,1,25,0,0,0
2021,14,18741,431,90,0,0,0,0,0,0,0,0,29,0,0,0,0,0,21,26,80.8,0,8,0,0,0
2021,14,18741,434,60,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,9,55.6,0,7,1,3,1
2021,14,18741,435,90,0,0,0,0,0,0,1,0,60,2,1,2,0,0,30,51,58.8,0,17,0,0,0
2021,14,18741,437,90,0,0,0,0,0,0,0,0,66,1,1,1,1,0,46,56,82.1,0,30,0,2,2
2021,14,18741,440,90,4,0,0,0,4,4,0,0,37,0,1,1,3,1,17,27,63.0,2,16,6,1,1
2021,14,18741,441,7,0,0,0,0,0,0,0,0,4,0,0,0,1,0,4,4,100.0,0,2,1,0,0
2021,14,18741,442,45,0,0,0,0,0,0,1,0,27,0,0,1,1,1,15,24,62.5,2,10,0,2,2
2021,14,18741,444,30,0,0,0,0,2,1,0,0,10,0,0,0,1,1,6,7,85.7,1,6,1,0,0
2021,18,18711,33,61,0,0,0,0,1,0,0,0,69,0,0,1,4,0,52,66,78.8,14,48,1,0,0
2021,18,18711,34,90,0,0,0,0,3,1,0,0,97,0,0,0,3,0,85,93,91.4,13,83,7,1,1
2021,18,18711,35,90,0,0,0,0,0,0,0,0,37,0,0,0,0,0,32,36,88.9,0,25,0,0,0
2021,18,18711,36,90,1,0,0,0,1,1,0,0,48,1,2,0,0,0,33,38,86.8,1,24,0,0,0
2021,18,18711,37,90,0,0,0,0,3,0,0,0,71,0,0,1,7,0,55,64,85.9,11,60,11,3,2
2021,18,18711,40,90,0,0,0,0,2,0,1,0,53,0,1,0,6,0,35,45,77.8,10,38,2,1,0
2021,18,18711,41,29,0,0,0,0,0,0,0,0,18,0,0,0,2,0,11,14,78.6,2,14,1,0,0
2021,18,18711,44,90,0,0,0,0,0,0,1,0,79,1,0,0,4,1,58,73,79.5,7,51,3,0,0
2021,18,18711,45,90,0,0,0,0,2,0,1,0,84,1,2,1,2,0,58,72,80.6,6,56,5,0,0
2021,18,18711,48,90,0,0,0,0,3,0,0,0,28,0,0,0,3,0,13,19,68.4,2,14,2,1,0
2021,18,18711,50,90,0,0,0,0,2,0,0,0,43,2,2,1,4,0,23,30,76.7,0,31,5,0,0
2021,18,18711,51,90,0,1,0,0,1,0,0,0,80,0,0,1,1,1,62,73,84.9,4,41,0,1,1
2021,18,19607,367,90,0,0,0,0,0,0,0,0,35,0,0,0,0,0,11,34,32.4,0,9,0,0,0
2021,18,19607,369,28,0,0,0,0,0,0,0,0,16,0,0,0,2,0,9,15,60.0,0,11,0,0,0
2021,18,19607,371,67,0,0,0,0,0,0,0,0,28,1,0,0,1,0,9,15,60.0,1,7,1,0,0
2021,18,19607,373,30,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,7,42.9,0,2,1,0,0
2021,18,19607,374,90,0,0,0,0,0,0,0,0,39,0,2,0,0,0,17,29,58.6,2,6,2,2,2
2021,18,19607,375,60,0,0,0,0,1,0,0,0,18,1,0,0,0,0,5,9,55.6,0,5,1,1,1
2021,18,19607,377,90,0,0,0,0,0,0,0,0,40,2,1,3,2,0,21,28,75.0,3,14,3,0,0
2021,18,19607,379,90,0,0,0,0,0,0,0,0,37,1,1,2,0,0,17,26,65.4,0,10,0,0,0
2021,18,19607,382,11,0,0,0,0,0,0,0,1,5,1,0,0,0,0,2,4,50.0,1,3,0,0,0
2021,18,19607,383,62,0,0,0,0,0,0,0,0,15,1,1,0,0,0,8,12,66.7,1,6,0,1,1
